,notes,principal_freq,slope,dur
2138,tickling,87.3523,573.9418,0.017600000000015825
2139,tickling,75.3214,-278.8835,0.012799999999970169
2140,tickling,90.3235,415.8597,0.017600000000015825
2141,tickling,87.9824,-485.7289,0.007999999999981355
2233,tickling,2.616,-107.4941,0.05750000000000455
2238,tickling,0.3122,1.3911,0.04640000000000555
2256,tickling,0.3122,-1.1438e-15,0.05269999999995889
2257,tickling,1.6574,-18.3532,0.08950000000004366
2262,tickling,4.3468,-35.66,0.09909999999996444
2263,tickling,0.3122,-1.8038,0.03989999999998872
2276,tickling,78.4445,-527.6021,0.006399999999985084
2309,tickling,1.0802,-28.5712,0.0766999999999598
2335,tickling,75.324,-3.0553e-13,0.007999999999981355
2363,tickling,103.7567,546.2243,0.020799999999994156
2462,tickling,93.7626,-156.3266,0.006400000000041928
2520,tickling,109.7587,58.6225,0.006399999999985084
2659,tickling,90.4689,409.5542,0.03520000000000323
2662,tickling,7.2258,39.4233,0.16139999999998622
2664,tickling,90.7937,-194.7633,0.02389999999999759
2668,tickling,68.7588,432.1042,0.014400000000023283
2673,tickling,87.9805,-452.392,0.02400000000000091
2738,tickling,105.9357,-14.6809,0.017599999999958982
2794,tickling,70.9472,376.0127,0.017499999999984084
2827,tickling,73.1356,-436.4116,0.01269999999999527
2843,tickling,66.8826,-1318.2947,0.02719999999999345
2845,tickling,69.6977,78.2842,0.02559999999999718
2854,tickling,77.1976,-161.0797,0.012800000000027012
2855,tickling,72.1964,-108.6231,0.019200000000012096
2856,tickling,84.6926,507.2931,0.02709999999996171
2862,tickling,69.6973,96.3083,0.02240000000000464
2863,tickling,71.8834,191.3087,0.017600000000015825
2865,tickling,83.4384,587.9054,0.020699999999976626
2879,tickling,70.8279,250.5024,0.030399999999985994
2952,tickling,5.4254,11.7241,0.13899999999998158
2973,tickling,2.9315,-52.7774,0.054299999999983584
3001,tickling,90.3246,-596.7872,0.008000000000038199
3048,tickling,97.3105,451.6936,0.03840000000000998
3049,tickling,75.3391,-600.0923,0.017499999999998295
3050,tickling,79.0582,-8.5576,0.1869000000000085
3051,tickling,95.3262,-144.7975,0.02389999999999759
3052,tickling,94.3855,-483.394,0.02400000000000091
3053,tickling,96.8815,392.4698,0.03830000000002087
3054,tickling,79.0727,289.374,0.0367999999999995
3055,tickling,97.9799,99.6981,0.01279999999999859
3056,tickling,105.6661,548.956,0.01279999999999859
3058,tickling,93.0389,-1886.0544,0.03350000000000364
3061,tickling,85.7932,-832.6088,0.012800000000027012
3062,tickling,79.699,330.7493,0.012800000000027012
